tier,speaker,start,stop,dur,val
CHI,CHI,1706321,1707452,1131,0.
CHI,CHI,1708682,1709213,531,0.
CHI,CHI,1713813,1715600,1787,0.
CHI,CHI,1716796,1718375,1579,0.
CHI,CHI,1721280,1722489,1209,0.
CHI,CHI,1723417,1724473,1056,0.
CHI,CHI,1733970,1735006,1036,0.
CHI,CHI,1749072,1751135,2063,0.
CHI,CHI,1839366,1842020,2654,0.
CHI,CHI,1842170,1843672,1502,0.
CHI,CHI,1845807,1847155,1348,0.
CHI,CHI,1853362,1854562,1200,0.
CHI,CHI,1860918,1862172,1254,0.
CHI,CHI,1864122,1864342,220,0.
CHI,CHI,1866027,1869298,3271,0.
CHI,CHI,1870774,1873477,2703,0.
CHI,CHI,1875165,1875647,482,0.
CHI,CHI,1906928,1907562,634,0.
CHI,CHI,1997770,1998677,907,0.
CHI,CHI,2016566,2016817,251,0.
CHI,CHI,2022081,2023189,1108,0.
CHI,CHI,2060114,2062376,2262,0.
CHI,CHI,2064016,2065446,1430,0.
CHI,CHI,2067056,2068172,1116,0.
CHI,CHI,2264419,2266983,2564,0.
CHI,CHI,2269554,2271991,2437,0.
CHI,CHI,2274047,2274859,812,0.
CHI,CHI,2277799,2278983,1184,0.
CHI,CHI,2280083,2280985,902,0.
CHI,CHI,2282485,2283772,1287,0.
CHI,CHI,2285691,2287784,2093,0.
CHI,CHI,2288284,2289377,1093,0.
CHI,CHI,2290834,2293444,2610,0.
CHI,CHI,2303305,2304516,1211,0.
CHI,CHI,3275566,3277973,2407,0.
CHI,CHI,3279120,3280340,1220,0.
CHI,CHI,3281701,3283390,1689,0.
CHI,CHI,3284367,3285100,733,0.
CHI,CHI,3285886,3288765,2879,0.
CHI,CHI,3292834,3296080,3246,0.
CHI,CHI,3298832,3299676,844,0.
CHI,CHI,3300074,3302130,2056,0.
CHI,CHI,3312628,3316120,3492,0.
CHI,CHI,3317701,3319182,1481,0.
CHI,CHI,3322772,3324467,1695,0.
CHI,CHI,3325653,3326523,870,0.
CHI,CHI,5356490,5357681,1191,0.
CHI,CHI,5357850,5359250,1400,0.
CHI,CHI,5360212,5360367,155,0.
CHI,CHI,5369079,5370060,981,0.
CHI,CHI,5370463,5370956,493,0.
CHI,CHI,5372535,5373650,1115,0.
CHI,CHI,5377784,5379129,1345,0.
CHI,CHI,5380965,5384485,3520,0.
CHI,CHI,5385232,5387155,1923,0.
CHI,CHI,5387963,5389353,1390,0.
CHI,CHI,5390085,5390786,701,0.
CHI,CHI,5391919,5392598,679,0.
CHI,CHI,5393956,5396486,2530,0.
CHI,CHI,5396570,5398810,2240,0.
CHI,CHI,5405266,5407436,2170,0.
CHI,CHI,5408102,5409950,1848,0.
CHI,CHI,5411019,5411995,976,0.
CHI,CHI,5731612,5732793,1181,0.
CHI,CHI,5746353,5748857,2504,0.
CHI,CHI,5751152,5751640,488,0.
CHI,CHI,5759591,5759863,272,0.
CHI,CHI,5762548,5763985,1437,0.
CHI,CHI,5765840,5766027,187,0.
CHI,CHI,5766730,5767874,1144,0.
CHI,CHI,5772890,5773210,320,0.
CHI,CHI,5778649,5779243,594,0.
CHI,CHI,5784276,5784490,214,0.
CHI,CHI,5785025,5785662,637,0.
CHI,CHI,5786338,5786878,540,0.
CHI,CHI,5788650,5789300,650,0.
CHI,CHI,5789662,5790830,1168,0.
CHI,CHI,5809517,5810002,485,0.
CHI,CHI,5811620,5812120,500,0.
CHI,CHI,5813001,5813176,175,0.
CHI,CHI,5813593,5814141,548,0.
CHI,CHI,5814954,5815143,189,0.
CHI,CHI,5817543,5819629,2086,0.
CHI,CHI,5821046,5821726,680,0.
CHI,CHI,5829695,5829909,214,0.
CHI,CHI,5830940,5831494,554,0.
CHI,CHI,5833577,5834220,643,0.
CHI,CHI,5835577,5836389,812,0.
CHI,CHI,5837652,5838112,460,0.
CHI,CHI,5839419,5839932,513,0.
CHI,CHI,5841313,5844026,2713,0.
CHI,CHI,5844871,5846152,1281,0.
CHI,CHI,5848477,5850009,1532,0.
CHI,CHI,5854630,5855216,586,0.
CHI,CHI,5856710,5857418,708,0.
CHI,CHI,5858735,5860188,1453,0.
CHI,CHI,5882414,5883475,1061,0.
CHI,CHI,5893834,5895129,1295,0.
CHI,CHI,5896031,5896384,353,0.
CHI,CHI,5898600,5898876,276,0.
CHI,CHI,6009647,6011527,1880,0.
CHI,CHI,7252413,7254475,2062,0.
CHI,CHI,7255513,7257286,1773,0.
CHI,CHI,7272530,7273830,1300,0.
CHI,CHI,7274342,7275718,1376,0.
CHI,CHI,7276376,7277205,829,0.
CHI,CHI,7279322,7281750,2428,0.
CHI,CHI,7282932,7283770,838,0.
CHI,CHI,7284735,7285155,420,0.
CHI,CHI,7285481,7286089,608,0.
CHI,CHI,7287307,7287716,409,0.
CHI,CHI,7291278,7293120,1842,0.
CHI,CHI,7295409,7295901,492,0.
CHI,CHI,7297490,7297975,485,0.
CHI,CHI,7310094,7310577,483,0.
CHI,CHI,7311724,7311936,212,0.
CHI,CHI,8928386,8928715,329,0.
CHI,CHI,8931820,8932005,185,0.
CHI,CHI,8937990,8939522,1532,0.
CHI,CHI,8942545,8943061,516,0.
CHI,CHI,8944258,8944764,506,0.
CHI,CHI,8946575,8947136,561,0.
CHI,CHI,8950177,8950670,493,0.
CHI,CHI,8976698,8979166,2468,0.
CHI,CHI,8996981,8998434,1453,0.
CHI,CHI,9015152,9016293,1141,0.
CHI,CHI,9032083,9032671,588,0.
CHI,CHI,9033893,9034305,412,0.
CHI,CHI,9035343,9036370,1027,0.
CHI,CHI,9037841,9038511,670,0.
CHI,CHI,9048729,9049905,1176,0.
CHI,CHI,9052135,9055803,3668,0.
CHI,CHI,9056969,9058587,1618,0.
CHI,CHI,9060998,9063909,2911,0.
CHI,CHI,9065884,9067490,1606,0.
CHI,CHI,9068940,9069895,955,0.
CHI,CHI,9096453,9100918,4465,0.
CHI,CHI,9101687,9102137,450,0.
CHI,CHI,9105361,9106397,1036,0.
CHI,CHI,9114622,9115660,1038,0.
CHI,CHI,9119708,9120603,895,0.
CHI,CHI,9130013,9130515,502,0.
CHI,CHI,9131992,9132913,921,0.
CHI,CHI,13562920,13563474,554,0.
CHI,CHI,13564623,13565376,753,0.
CHI,CHI,13567743,13569059,1316,0.
CHI,CHI,13576878,13577152,274,0.
CHI,CHI,13578100,13578428,328,0.
CHI,CHI,13579540,13579980,440,0.
CHI,CHI,13580573,13580897,324,0.
CHI,CHI,13585235,13585405,170,0.
CHI,CHI,13587393,13589065,1672,0.
CHI,CHI,13591210,13591389,179,0.
CHI,CHI,13594120,13595277,1157,0.
CHI,CHI,13604658,13604897,239,0.
CHI,CHI,15452499,15453748,1249,0.
CHI,CHI,16870460,16870670,210,0.
CHI,CHI,16871668,16871860,192,0.
CHI,CHI,16892734,16893950,1216,0.
CHI,CHI,16895000,16898180,3180,0.
CHI,CHI,16898660,16901750,3090,0.
CHI,CHI,16902490,16904850,2360,0.
