Row,OverallOrder,ChildIntOrder,Child,aclew_id,Media,Status,Include,Sample,CodeName,Notes
1,160,16,M-F03-C01,7326,M-F03-C01_112020_010302_000500,1-XunPt1,1,random_5mindur_summer2017,random-1,
2,241,25,M-F03-C01,7326,M-F03-C01_113020_011302_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,
3,242,26,M-F03-C01,7326,M-F03-C01_120323_014605_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,
4,252,36,M-F03-C01,7326,M-F03-C01_120612_014854_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,substitute for M-F03-C01_152340_050622.mp4
5,71,8,M-F03-C01,7326,M-F03-C01_121236_015518_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
6,253,37,M-F03-C01,7326,M-F03-C01_124159_022441_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,substitute for M-F03-C01_130036_024318.mp4
7,243,27,M-F03-C01,7326,M-F03-C01_124700_022942_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
8,58,6,M-F03-C01,7326,M-F03-C01_130016_024258_000500,0-Pass1,1,random_5mindur_summer2017,random-3,
9,3,1,M-F03-C01,7326,M-F03-C01_134153_032435_000500,No speech,1,random_5mindur_summer2017,random-4,
10,245,29,M-F03-C01,7326,M-F03-C01_141333_035615_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
11,129,13,M-F03-C01,7326,M-F03-C01_142436_040718_000500,0-Pass1,1,random_5mindur_summer2017,random-5,
12,16,2,M-F03-C01,7326,M-F03-C01_152310_050552_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,
13,47,5,M-F03-C01,7326,M-F03-C01_164234_062516_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
14,247,31,M-F03-C01,7326,M-F03-C01_174513_072755_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
15,36,4,M-F03-C01,7326,M-F03-C01_174717_072959_000500,0-Pass1,1,random_5mindur_summer2017,random-8,
16,222,23,M-F03-C01,7326,M-F03-C01_175335_073617_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
17,248,32,M-F03-C01,7326,M-F03-C01_175926_074208_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
18,249,33,M-F03-C01,7326,M-F03-C01_180026_074308_000100,0-Pass1,0,highVAD_1mindur_summer2017,va-5,dropped because included in extension: M-F03-C01_180035_074317.mp4
19,251,35,M-F03-C01,7326,M-F03-C01_180035_074317_000600,0-Pass1,1,highVAD_6mindur_summer2017,extension_va-5,(inclusive) extension of M-F03-C01_180026_074308.mp4
20,250,34,M-F03-C01,7326,M-F03-C01_181139_075421_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
21,57,6,M-F05-C01,7176,M-F05-C01_090323_002821_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
22,35,4,M-F05-C01,7176,M-F05-C01_103428_015926_000500,No speech,1,random_5mindur_summer2017,random-2,
23,19,2,M-F05-C01,7176,M-F05-C01_104253_020751_000500,No speech,1,random_5mindur_summer2017,random-3,
