sample,aclew_child_id,tds_mph.mean,tds_mph.sd,tds_mph.median,tds_mph.min,tds_mph.max,tds.no_mph.mean,tds.no_mph.sd,tds.no_mph.median,tds.no_mph.min,tds.no_mph.max
Rossel,1143,2.6986666666666665,2.595195561031962,1.704,0,7.92,2.072,2.187919559764481,1.248,0,6.648000000000001
Rossel,2977,3.9866666666666664,5.139523713341538,2.448,0,15.431999999999999,2.3946666666666667,3.0398105204107706,1.0559999999999998,0,8.616
Rossel,3729,3.2079999999999997,5.607005617974713,0.456,0,17.136,2.3573333333333335,4.564399631934084,0.456,0,13.872
Rossel,3956,6.261333333333333,6.278906911238611,4.5120000000000005,0.24,20.688,4.794666666666667,4.975237883759932,3.5519999999999996,0,15.984000000000002
Rossel,4569,1.8213333333333335,1.9877102404525666,1.6320000000000001,0,5.016,1.472,1.575934008770672,1.6320000000000001,0,4.032000000000001
Rossel,5019,4.112,2.627561607270132,4.272,0.792,6.912,3.0666666666666664,2.2496648639297367,2.5199999999999996,0.72,5.904
Rossel,6934,1.5759999999999998,1.8889235029508207,0.768,0,4.919999999999999,1.024,1.2999384600818609,0.40800000000000003,0,3.5039999999999996
Rossel,8018,2.1173333333333333,2.3050240779653475,1.368,0,5.688,1.3173333333333335,1.5796505942771015,0.72,0,3.9360000000000004
Rossel,8427,2.312,2.871261743554565,0.8160000000000001,0,7.5120000000000005,1.6906666666666665,2.179449471770337,0.24,0,5.856
Rossel,9732,3.218666666666667,3.4062976969137626,3.24,0,10.944,1.7866666666666668,1.8317248701701903,1.1520000000000001,0,4.6080000000000005
Tseltal,0643,0.8266666666666667,1.2677681175987983,0.168,0,3.7800000000000002,0.6493333333333333,1.1355932370351631,0.156,0,3.2640000000000002
Tseltal,2109,4.6626666666666665,4.664895282854696,5.016,0,12.072,3.401333333333333,3.6071933688118247,2.604,0,9.132
Tseltal,2625,4.1626666666666665,4.7081898857204125,3.3720000000000003,0,15.131999999999998,3.756,4.607593732090536,2.628,0,14.687999999999999
Tseltal,3026,2.518666666666667,2.3593312611839825,2.472,0,6.324000000000001,1.444,1.2320032467489686,2.124,0,3.012
Tseltal,6216,6.545333333333334,5.862055612155176,6.5520000000000005,0,16.548,4.928,4.822794625525744,4.716,0,14.148
Tseltal,7176,1.0866666666666664,2.376462917867644,0,0,6.887999999999999,0.5826666666666667,1.50087707691203,0,0,4.536
Tseltal,7220,5.798666666666667,9.81097935988044,1.0799999999999998,0,23.94,2.998666666666667,4.920671092442575,0.5760000000000001,0,13.128000000000002
Tseltal,7326,4.936,5.818171877832418,1.296,0,15.491999999999999,3.494666666666667,4.152233134109886,0.384,0,10.608
Tseltal,8179,1.78,1.7901530660812222,1.2120000000000002,0,4.476,0.8573333333333333,0.7816853586961956,0.8759999999999999,0,2.064
Tseltal,8787,3.996,4.306608410338697,3.4919999999999995,0,14.364,2.748,3.4060504987448446,2.0160000000000005,0,11.148000000000001
