tier.name,time.start,time.end,dur.sec,recording,clip.onset,tod.clip.onset,spkr.type,spkr.type.corr
CHI,6.3,7.762,1.4619999999999997,M-F01-C01,110533,014546,CHI,other/unknown
CHI,11.3,13.5,2.1999999999999993,M-F01-C01,110533,014546,CHI,other/unknown
CHI,13.5,17.046,3.5459999999999994,M-F01-C01,110533,014546,CHI,other/unknown
CHI,28.3,30.228,1.9280000000000008,M-F01-C01,110533,014546,CHI,other/unknown
CHI,51.5,54.521,3.021000000000001,M-F01-C01,110533,014546,CHI,other/unknown
CHI,81.928,84.502,2.573999999999998,M-F01-C01,110533,014546,CHI,other/unknown
CHI,85.28,89.632,4.352000000000004,M-F01-C01,110533,014546,CHI,other/unknown
CHI,110.045,111.584,1.5390000000000015,M-F01-C01,110533,014546,CHI,other/unknown
CHI,112.1,113.8,1.7000000000000028,M-F01-C01,110533,014546,CHI,other/unknown
CHI,121.401,124.076,2.674999999999997,M-F01-C01,110533,014546,CHI,other/unknown
CHI,240.5,243.056,2.5560000000000116,M-F01-C01,110533,014546,CHI,other/unknown
CHI,116.5,124.1,7.599999999999994,M-F01-C01,111045,015058,CHI,other/unknown
CHI,127.726,135.781,8.055000000000007,M-F01-C01,111045,015058,CHI,other/unknown
CHI,135.781,142.471,6.689999999999998,M-F01-C01,111045,015058,CHI,other/unknown
CHI,143.105,145.513,2.4080000000000155,M-F01-C01,111045,015058,CHI,other/unknown
OTR,150,151.69,1.6899999999999977,M-F01-C01,111045,015058,niña,niña
CHI,150.223,157.7,7.4769999999999754,M-F01-C01,111045,015058,CHI,other/unknown
OTR,157.68,159.35,1.6699999999999875,M-F01-C01,111045,015058,señor,hombre
CHI,166.279,173.6,7.320999999999998,M-F01-C01,111045,015058,CHI,other/unknown
CHI,174.117,179.521,5.403999999999996,M-F01-C01,111045,015058,CHI,other/unknown
CHI,241.022,245.949,4.927000000000021,M-F01-C01,111045,015058,CHI,other/unknown
CHI,245.949,249.11,3.1610000000000014,M-F01-C01,111045,015058,CHI,other/unknown
CHI,254.214,255.981,1.766999999999996,M-F01-C01,111045,015058,CHI,other/unknown
CHI,256.925,258.549,1.6239999999999668,M-F01-C01,111045,015058,CHI,other/unknown
CHI,262.416,265.411,2.9950000000000045,M-F01-C01,111045,015058,CHI,other/unknown
OTR,31.4,32.44,1.0399999999999991,M-F01-C01,160142,064155,mujer,mujer
CHI,293.5,299.9,6.399999999999977,M-F01-C01,160142,064155,CHI,other/unknown
CHI,22.566,25.641,3.0749999999999993,M-F01-C01,165514,073527,CHI,other/unknown
CHI,25.641,28.102,2.461000000000002,M-F01-C01,165514,073527,CHI,other/unknown
OTR,28.096,30.47,2.3739999999999988,M-F01-C01,165514,073527,niña,niña
CHI,30.5,34.9,4.399999999999999,M-F01-C01,165514,073527,CHI,other/unknown
OTR,30.755,32.095,1.3399999999999999,M-F01-C01,165514,073527,niña,niña
CHI,35.047,38.419,3.372,M-F01-C01,165514,073527,CHI,other/unknown
OTR,38.098,40.698,2.6000000000000014,M-F01-C01,165514,073527,niña,niña
CHI,47.39,50.456,3.0660000000000025,M-F01-C01,165514,073527,CHI,other/unknown
CHI,60.815,63.172,2.3569999999999993,M-F01-C01,165514,073527,CHI,other/unknown
CHI,63.883,66.547,2.6639999999999944,M-F01-C01,165514,073527,CHI,other/unknown
CHI,154.3,157.4,3.0999999999999943,M-F01-C01,165514,073527,CHI,other/unknown
CHI,161.301,163.801,2.5,M-F01-C01,165514,073527,CHI,other/unknown
CHI,208.463,212.116,3.65300000000002,M-F01-C01,165514,073527,CHI,other/unknown
CHI,215.412,218.154,2.7419999999999902,M-F01-C01,165514,073527,CHI,other/unknown
