recording,filename,segment.num,clip.onset.corrected,clip.onset.uncorrected
M-F01-C01,M-F01-C01_110533_014546.eaf,1,110533,110533
M-F01-C01,M-F01-C01_111045_015058.eaf,2,111045,111045
M-F01-C01,M-F01-C01_144301_052314.eaf,3,144301,144301
M-F01-C01,M-F01-C01_150759_054812.eaf,4,150759,150759
M-F01-C01,M-F01-C01_160142_064155.eaf,5,160142,160142
M-F01-C01,M-F01-C01_165514_073527.eaf,6,165514,165514
M-F01-C01,M-F01-C01_171958_080011.eaf,7,171958,171958
M-F01-C01,M-F01-C01_173603_081616.eaf,8,173603,173603
M-F01-C01,M-F01-C01_174416_082429.eaf,9,174416,174416
M-F01-C02,M-F01-C02_120345_012525.eaf,1,120345,120345
M-F01-C02,M-F01-C02_120931_013111.eaf,2,120931,120931
M-F01-C02,M-F01-C02_142333_034513.eaf,3,142333,142333
M-F01-C02,M-F01-C02_142951_035131.eaf,4,142951,142951
M-F01-C02,M-F01-C02_145419_041559.eaf,5,145419,145419
M-F01-C02,M-F01-C02_152605_044745.eaf,6,152605,152605
M-F01-C02,M-F01-C02_155906_052046.eaf,7,155906,155906
M-F01-C02,M-F01-C02_164458_060638.eaf,8,164458,164458
M-F01-C02,M-F01-C02_184246_080426.eaf,9,184246,184246
M-F02-C01,M-F02-C01_100143_004505.eaf,1,100143,100143
M-F02-C01,M-F02-C01_103333_011655.eaf,2,103333,103333
M-F02-C01,M-F02-C01_110319_014641.eaf,3,110319,110319
M-F02-C01,M-F02-C01_111046_015408.eaf,4,111046,111046
M-F02-C01,M-F02-C01_134350_042712.eaf,5,134350,134350
M-F02-C01,M-F02-C01_135824_044146.eaf,6,135824,135824
M-F02-C01,M-F02-C01_140330_044652.eaf,7,140330,140330
M-F02-C01,M-F02-C01_143252_051614.eaf,8,143252,143252
M-F02-C01,M-F02-C01_173007_081329.eaf,9,173007,173007
M-F04-C01,M-F04-C01_083650_002856.eaf,1,83650,83650
M-F04-C01,M-F04-C01_085303_004509.eaf,2,85303,85303
M-F04-C01,M-F04-C01_100142_015348.eaf,3,100142,100142
M-F04-C01,M-F04-C01_101449_020655.eaf,4,101449,101449
M-F04-C01,M-F04-C01_131030_050236.eaf,5,131030,131030
M-F04-C01,M-F04-C01_134058_053304.eaf,6,134058,134058
M-F04-C01,M-F04-C01_135153_054359.eaf,7,135153,135153
M-F04-C01,M-F04-C01_164037_083243.eaf,8,164037,164037
M-F04-C01,M-F04-C01_171020_090226.eaf,9,171020,171020
M-F04-C02,M-F04-C02_090445_010251.eaf,1,90445,90445
M-F04-C02,M-F04-C02_100337_020143.eaf,2,100337,100337
M-F04-C02,M-F04-C02_104037_023843.eaf,3,104037,104037
M-F04-C02,M-F04-C02_111257_031103.eaf,4,111257,111257
M-F04-C02,M-F04-C02_112815_032621.eaf,5,112815,112815
M-F04-C02,M-F04-C02_115930_035736.eaf,6,115930,115930
M-F04-C02,M-F04-C02_123942_043748.eaf,7,123942,123942
M-F04-C02,M-F04-C02_125406_045212.eaf,8,125406,125406
