0,old_row,labname,homebank_id,homebank_link,aclew_id,Version_lock,LDC_round2,aclew_starter,Annotations,child_level_id,sharing_environment,device,lab_internal_subject_id,over36mo,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,start_of_recording,number_older_sibs,mother_age,father_age,household_size,premature,region,medical,medical_details,ses_details,CDI_concurrent,CDI_later,age_CDI_later,Comments,,,
1,1,TSE,CM50,NA,0643,,N,Y,"RAND, HV",CM50,CM51,olympus,M-F40-C01,N,2,01m;25d,Y,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,secondary,576,576,08:19:15,5,25,33,7,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
2,2,TSE,CM07,NA,7176,,N,N,"RAND, HV",CM07,CM08,olympus,M-F05-C01,N,4,03m;18d,Y,M,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,preparatory,preparatory,566,566,08:35:02,1,21,25,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
3,3,TSE,CM11,NA,8179,,N,N,"RAND, HV",CM11,N,olympus,M-F08-C01,N,6,05m;29d,Y,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,578,578,08:43:05,0,17,22,14,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
4,4,TSE,CM23,NA,2109,,N,N,"RAND, HV",CM23,N,olympus,M-F17-C01,N,7,07m;15d,Y,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,576,576,08:54:07,0,24,18,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
5,5,TSE,CM38,NA,8787,,N,Y,"RAND, HV",CM38,N,olympus,M-F29-C01,N,11,10m;21d,Y,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,563,563,08:17:56,1,23,23,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
6,6,TSE,CM04,NA,7326,,N,N,"RAND, HV",CM04,N,olympus,M-F03-C01,N,14,14m;10d,Y,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,primary,492,492,09:21:53,0,20,35,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,Parental DOBs estimated,,,
7,7,TSE,CM17,NA,7220,,N,N,"RAND, HV",CM17,N,olympus,M-F13-C01,N,22,22m;03d,Y,F,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,preparatory,preparatory,555,555,08:44:55,1,30,24,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
8,8,TSE,CM25,NA,6216,,N,N,"RAND, HV",CM25,N,olympus,M-F19-C01,N,27,26m;25d,Y,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,531,531,09:40:18,0,17,19,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
9,9,TSE,CM47,NA,2625,,N,Y,"RAND, HV",CM47,CM46,olympus,M-F37-C02,N,32,32m;05d,Y,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,558,558,08:53:09,1,27,25,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
10,10,TSE,CM55,NA,3026,,N,N,"RAND, HV",CM55,CM54,olympus,M-F43-C02,N,36,36m;02d,Y,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,550,550,08:36:46,2,27,34,5,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
926,926,TSE,CM01,NA,1338,,N,N,,CM01,CM02,olympus,M-F01-C01,N,7,7,N,F,Spanish_Tseltal,50_50,CasillasTseltal,CasillasTseltal,hs,preparatory,preparatory,,,,2,26,25,12,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,Lang_percent estimated,,,
927,927,TSE,CM02,NA,0059,,N,N,,CM02,CM01,olympus,M-F01-C02,Y,38,38,N,M,Spanish_Tseltal,50_50,CasillasTseltal,CasillasTseltal,hs,preparatory,preparatory,,,,1,26,25,12,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,Lang_percent estimated,,,
928,928,TSE,CM05,NA,7273,,N,N,,CM05,CM06,olympus,M-F04-C01,N,9,9,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,preparatory,secondary,,,,1,24,24,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
929,929,TSE,CM06,NA,7290,,N,N,,CM06,CM05,olympus,M-F04-C02,N,31,31,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,preparatory,secondary,,,,0,24,24,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
930,930,TSE,CM03,NA,3591,,N,N,,CM03,N,olympus,M-F02-C01,N,10,10,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,,,,4,39,49,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
931,931,TSE,CM08,NA,8747,,N,N,,CM08,CM07,olympus,M-F05-C02,N,31,31,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,preparatory,preparatory,,,,0,21,25,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
932,932,TSE,CM09,NA,0909,,N,N,,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,,,,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
933,933,TSE,CM10,NA,5458,,N,N,,CM10,N,olympus,M-F07-C01,N,25,25,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,secondary,,,,2,28,31,14,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
934,934,TSE,CM12,NA,9592,,N,N,,CM12,CM13,olympus,M-F09-C01,N,19,19,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,1,20,23,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
935,935,TSE,CM13,NA,8613,,N,N,,CM13,CM12,olympus,M-F09-C02,Y,38,38,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,0,20,23,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
936,936,TSE,CM14,NA,7759,,N,N,,CM14,N,olympus,M-F10-C01-rec1,N,34,34,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,,,,0,20,25,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
937,937,TSE,CM14,NA,4243,,N,N,,CM14,N,olympus,M-F10-C01-rec2,N,34,34,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,,,,0,20,25,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
938,938,TSE,CM15,NA,1188,,N,N,,CM15,N,olympus,M-F11-C01-rec2,N,7,7,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,primary,,,,0,39,42,7,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
939,939,TSE,CM16,NA,2512,,N,N,,CM16,N,olympus,M-F12-C01-rec2,N,27,27,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,,,,1,29,34,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
940,940,TSE,CM18,NA,6333,,N,N,,CM18,CM19,olympus,M-F14-C01,N,22,22,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,postsecondary,postsecondary,,,,1,27,27,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
941,941,TSE,CM19,NA,7021,,N,N,,CM19,CM18,olympus,M-F14-C02,Y,45,45,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,hs,postsecondary,postsecondary,,,,0,27,27,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
942,942,TSE,CM20,NA,6291,,N,N,,CM20,N,olympus,M-F15-C01,N,2,2,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,2,36,31,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
943,943,TSE,CM21,NA,2526,,N,N,,CM21,CM22,olympus,M-F16-C01,N,22,22,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,1,21,25,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
944,944,TSE,CM22,NA,1126,,N,N,,CM22,CM21,olympus,M-F16-C02,Y,45,45,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,0,21,25,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
946,946,TSE,CM24,NA,8379,,N,N,,CM24,N,olympus,M-F18-C01,N,2,2,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,0,16,17,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
947,947,TSE,CM26,NA,3124,,N,N,,CM26,CM27,olympus,M-F20-C01,N,2,2,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,2,24,24,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
948,948,TSE,CM27,NA,5100,,N,N,,CM27,CM26,olympus,M-F20-C02,Y,39,39,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,1,24,24,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
949,949,TSE,CM28,NA,7108,,N,N,,CM28,N,olympus,M-F21-C01,N,24,24,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,primary,,,,6,42,46,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
950,950,TSE,CM29,NA,0684,,N,N,,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,,,,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
951,951,TSE,CM30,NA,0456,,N,N,,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,,,,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
952,952,TSE,CM31,NA,4935,,N,N,,CM31,CM32,olympus,M-F24-C01,N,6,6,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,3,29,27,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
953,953,TSE,CM32,NA,3842,,N,N,,CM32,CM31,olympus,M-F24-C02,Y,41,41,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,2,29,27,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
954,954,TSE,CM33,NA,0057,,N,N,,CM33,N,olympus,M-F25-C01,Y,46,46,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,1,27,24,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
955,955,TSE,CM34,NA,7439,,N,N,,CM34,N,olympus,M-F26-C01,N,9,9,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,0,18,26,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
956,956,TSE,CM35,NA,6028,,N,N,,CM35,CM36,olympus,M-F27-C01,N,16,16,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,2,22,25,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
957,957,TSE,CM36,NA,9663,,N,N,,CM36,CM35,olympus,M-F27-C02,Y,47,47,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,secondary,,,,1,22,25,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
958,958,TSE,CM37,NA,3214,,N,N,,CM37,N,olympus,M-F28-C01,N,8,8,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,,,,1,20,24,3,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
959,959,TSE,CM39,NA,9950,,N,N,,CM39,N,olympus,M-F30-C01,N,29,29,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,secondary,,,,2,43,45,4,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
960,960,TSE,CM40,NA,0484,,N,N,,CM40,N,olympus,M-F31-C01,Y,38,38,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,,,,6,35,38,10,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
961,961,TSE,CM41,NA,6964,,N,N,,CM41,N,olympus,M-F32-C01,N,5,5,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,,,,0,20,29,10,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,Father DOB estimated,,,
962,962,TSE,CM42,NA,5629,,N,N,,CM42,N,olympus,M-F33-C01,Y,52,52,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,primary,,,,4,37,37,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
963,963,TSE,CM43,NA,6107,,N,N,,CM43,N,olympus,M-F34-C01,N,6,6,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,secondary,,,,4,33,38,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
964,964,TSE,CM44,NA,9415,,N,N,,CM44,N,olympus,M-F35-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,primary,,,,8,42,52,8,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
965,965,TSE,CM45,NA,5147,,N,N,,CM45,N,olympus,M-F36-C01,N,17,17,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,none,preparatory,,,,4,29,38,7,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,,,,
