tier,speaker,start,stop,dur,val
CHI,CHI,1520838,1521115,277,0.
CHI,CHI,2340428,2341324,896,0.
CHI,CHI,2359830,2361200,1370,0.
CHI,CHI,6574256,6574397,141,0.
CHI,CHI,6587948,6588264,316,0.
CHI,CHI,6680980,6681343,363,0.
CHI,CHI,6687312,6695659,8347,0.
CHI,CHI,8938530,8938866,336,0.
CHI,CHI,8939190,8939863,673,0.
CHI,CHI,8940500,8940866,366,0.
CHI,CHI,8940950,8943400,2450,0.
CHI,CHI,8944380,8946196,1816,0.
CHI,CHI,8958240,8958801,561,0.
CHI,CHI,8960278,8960417,139,0.
CHI,CHI,8960730,8960909,179,0.
CHI,CHI,8961415,8961991,576,0.
CHI,CHI,8962630,8964449,1819,0.
CHI,CHI,8964670,8965093,423,0.
CHI,CHI,8965406,8966312,906,0.
CHI,CHI,8976736,8977031,295,0.
CHI,CHI,8979300,8979611,311,0.
CHI,CHI,8980520,8980903,383,0.
CHI,CHI,8984017,8984340,323,0.
CHI,CHI,8993383,8993642,259,0.
CHI,CHI,10277485,10278241,756,0.
CHI,CHI,10283059,10283312,253,0.
CHI,CHI,10285140,10286199,1059,0.
CHI,CHI,10287787,10288130,343,0.
CHI,CHI,10288457,10289051,594,0.
CHI,CHI,10290355,10290994,639,0.
CHI,CHI,10291690,10292068,378,0.
CHI,CHI,10301224,10301551,327,0.
CHI,CHI,10304517,10305326,809,0.
CHI,CHI,10307795,10308835,1040,0.
CHI,CHI,10309358,10310343,985,0.
CHI,CHI,10312022,10313724,1702,0.
CHI,CHI,10315298,10316133,835,0.
CHI,CHI,10316645,10316932,287,0.
CHI,CHI,10321977,10322680,703,0.
CHI,CHI,10324491,10325585,1094,0.
CHI,CHI,10326588,10327613,1025,0.
CHI,CHI,10330068,10330250,182,0.
CHI,CHI,10331608,10332730,1122,0.
CHI,CHI,10334397,10335418,1021,0.
CHI,CHI,10336329,10337000,671,0.
CHI,CHI,10337000,10337809,809,0.
CHI,CHI,10339548,10341253,1705,0.
CHI,CHI,10342557,10343352,795,0.
CHI,CHI,10343701,10344156,455,0.
CHI,CHI,10344460,10346065,1605,0.
CHI,CHI,10348105,10348545,440,0.
CHI,CHI,10348951,10349247,296,0.
CHI,CHI,10349596,10350150,554,0.
CHI,CHI,10350781,10351207,426,0.
CHI,CHI,10351480,10351713,233,0.
CHI,CHI,10352670,10352869,199,0.
CHI,CHI,10353318,10353630,312,0.
CHI,CHI,10354105,10354443,338,0.
CHI,CHI,10354693,10355096,403,0.
CHI,CHI,10355716,10356480,764,0.
CHI,CHI,10356787,10357619,832,0.
CHI,CHI,10357963,10358485,522,0.
CHI,CHI,10361184,10361971,787,0.
CHI,CHI,10362449,10362508,59,0.
CHI,CHI,10363599,10364363,764,0.
CHI,CHI,10365085,10367767,2682,0.
CHI,CHI,10371988,10372943,955,0.
CHI,CHI,10378045,10378500,455,0.
CHI,CHI,10378853,10379700,847,0.
CHI,CHI,10381004,10381464,460,0.
CHI,CHI,10386150,10386623,473,0.
CHI,CHI,10388183,10389754,1571,0.
CHI,CHI,10390202,10391995,1793,0.
CHI,CHI,10392526,10392600,74,0.
CHI,CHI,10393072,10393245,173,0.
CHI,CHI,10393640,10393768,128,0.
CHI,CHI,10396816,10397000,184,0.
CHI,CHI,20123942,20124674,732,0.
CHI,CHI,20124882,20125900,1018,0.
CHI,CHI,20129400,20130698,1298,0.
CHI,CHI,20135552,20136510,958,0.
CHI,CHI,20137548,20138460,912,0.
CHI,CHI,20140964,20141535,571,0.
CHI,CHI,20141692,20142174,482,0.
CHI,CHI,20142950,20143936,986,0.
CHI,CHI,20144746,20144840,94,0.
CHI,CHI,20153760,20154640,880,0.
CHI,CHI,20155032,20155664,632,0.
CHI,CHI,20155990,20157326,1336,0.
CHI,CHI,20157752,20158184,432,0.
CHI,CHI,20160488,20161605,1117,0.
CHI,CHI,20162190,20163620,1430,0.
CHI,CHI,20165326,20165495,169,0.
CHI,CHI,20180944,20181078,134,0.
CHI,CHI,20182118,20183670,1552,0.
CHI,CHI,21013368,21015476,2108,0.
CHI,CHI,21017178,21017400,222,0.
CHI,CHI,21026374,21026678,304,0.
CHI,CHI,21109559,21113598,4039,0.
CHI,CHI,21138522,21141636,3114,0.
CHI,CHI,21145874,21146186,312,0.
CHI,CHI,21164632,21168115,3483,0.
CHI,CHI,21176868,21177586,718,0.
CHI,CHI,21178350,21179402,1052,0.
CHI,CHI,21181464,21183096,1632,0.
CHI,CHI,21183498,21183575,77,0.
CHI,CHI,21184314,21187332,3018,0.
CHI,CHI,21208350,21209224,874,0.
CHI,CHI,21209688,21210132,444,0.
CHI,CHI,21211626,21213826,2200,0.
CHI,CHI,21214998,21216410,1412,0.
CHI,CHI,21221240,21221510,270,0.
CHI,CHI,21223600,21223832,232,0.
CHI,CHI,21224488,21224670,182,0.
CHI,CHI,21232098,21233882,1784,0.
CHI,CHI,21235633,21235769,136,0.
CHI,CHI,21242921,21242990,69,0.
CHI,CHI,21246760,21246934,174,0.
CHI,CHI,21275900,21276430,530,0.
CHI,CHI,26680686,26680828,142,0.
CHI,CHI,26689794,26690244,450,0.
CHI,CHI,26690734,26690946,212,0.
CHI,CHI,26699994,26700338,344,0.
CHI,CHI,26701444,26701654,210,0.
CHI,CHI,26704662,26707504,2842,0.
CHI,CHI,26709484,26710862,1378,0.
CHI,CHI,26711586,26711728,142,0.
CHI,CHI,26719194,26720578,1384,0.
CHI,CHI,26721980,26722504,524,0.
CHI,CHI,26724843,26725555,712,0.
CHI,CHI,26729178,26729817,639,0.
CHI,CHI,26731464,26732177,713,0.
CHI,CHI,26733990,26734574,584,0.
CHI,CHI,26735134,26735166,32,0.
CHI,CHI,26736822,26737614,792,0.
CHI,CHI,26737928,26739498,1570,0.
CHI,CHI,26740846,26741978,1132,0.
CHI,CHI,26742636,26743690,1054,0.
CHI,CHI,26744088,26745328,1240,0.
CHI,CHI,26746406,26747574,1168,0.
CHI,CHI,26747921,26748209,288,0.
CHI,CHI,26748600,26750003,1403,0.
CHI,CHI,26750482,26750710,228,0.
CHI,CHI,26751008,26751114,106,0.
CHI,CHI,26752200,26753572,1372,0.
CHI,CHI,26754126,26754279,153,0.
CHI,CHI,26754548,26755912,1364,0.
CHI,CHI,26756504,26757312,808,0.
CHI,CHI,26757606,26758472,866,0.
CHI,CHI,26760391,26760896,505,0.
CHI,CHI,26765318,26766134,816,0.
CHI,CHI,26766704,26766918,214,0.
CHI,CHI,26769190,26769356,166,0.
CHI,CHI,26772282,26772400,118,0.
CHI,CHI,26772571,26772764,193,0.
CHI,CHI,26773918,26774344,426,0.
CHI,CHI,26776370,26776676,306,0.
CHI,CHI,26779558,26782946,3388,0.
CHI,CHI,26790250,26790482,232,0.
CHI,CHI,26790972,26791092,120,0.
CHI,CHI,26791986,26792182,196,0.
CHI,CHI,26792588,26793324,736,0.
CHI,CHI,26793612,26793654,42,0.
CHI,CHI,26794784,26795156,372,0.
CHI,CHI,26795598,26795920,322,0.
CHI,CHI,26797783,26798094,311,0.
CHI,CHI,26799116,26800288,1172,0.
CHI,CHI,26800998,26801366,368,0.
CHI,CHI,26801892,26803973,2081,0.
CHI,CHI,26807640,26807911,271,0.
CHI,CHI,26814540,26814810,270,0.
CHI,CHI,26816690,26816882,192,0.
CHI,CHI,26818466,26818768,302,0.
CHI,CHI,26819126,26820128,1002,0.
CHI,CHI,26820492,26820687,195,0.
CHI,CHI,26821066,26821626,560,0.
CHI,CHI,26822063,26823250,1187,0.
CHI,CHI,26824358,26825668,1310,0.
CHI,CHI,26826020,26826504,484,0.
CHI,CHI,26826904,26829149,2245,0.
CHI,CHI,26829690,26830597,907,0.
CHI,CHI,26830946,26831660,714,0.
CHI,CHI,26833134,26834466,1332,0.
CHI,CHI,26835648,26836673,1025,0.
CHI,CHI,26837292,26840308,3016,0.
CHI,CHI,26840729,26841822,1093,0.
CHI,CHI,26842058,26842522,464,0.
CHI,CHI,26842876,26843068,192,0.
CHI,CHI,26844486,26845558,1072,0.
CHI,CHI,26845972,26846790,818,0.
CHI,CHI,26847052,26848020,968,0.
CHI,CHI,26848392,26849632,1240,0.
CHI,CHI,26850986,26852122,1136,0.
CHI,CHI,26852552,26853702,1150,0.
CHI,CHI,26854040,26854170,130,0.
CHI,CHI,26854702,26855659,957,0.
CHI,CHI,26856236,26856322,86,0.
CHI,CHI,26856576,26858676,2100,0.
CHI,CHI,26859350,26859668,318,0.
