tier,speaker,start,stop,dur,val
CHI,NA,9160,9760,600,NO-HAY-PALABRAS
CHI,NA,25430,26080,650,0.
CHI,NA,27635,28175,540,NO-HAY-PALABRAS
CHI,NA,29675,30915,1240,0.
CHI,NA,36095,36875,780,0.
CHI,NA,40125,40785,660,NO-HAY-PALABRAS
CHI,NA,60125,60435,310,0.
CHI,NA,62400,62820,420,NO-HAY-PALABRAS
CHI,NA,63370,63710,340,NO-HAY-PALABRAS
CHI,NA,66270,66590,320,NO-HAY-PALABRAS
CHI,NA,67210,67460,250,NO-HAY-PALABRAS
CHI,NA,67875,68115,240,NO-HAY-PALABRAS
CHI,NA,69615,69985,370,0.
CHI,NA,71520,71970,450,NO-HAY-PALABRAS
CHI,NA,81555,82035,480,NO-HAY-PALABRAS
CHI,NA,82795,83025,230,NO-HAY-PALABRAS
CHI,NA,88690,90340,1650,NO-HAY-PALABRAS
CHI,NA,90695,91380,685,NO-HAY-PALABRAS
CHI,NA,92070,92850,780,0.
CHI,NA,93280,94080,800,NO-HAY-PALABRAS
CHI,NA,94550,95470,920,0.
CHI,NA,103070,103810,740,0.
CHI,NA,124055,124875,820,0.
CHI,NA,128305,128945,640,0.
CHI,NA,131355,131995,640,0.
CHI,NA,135045,135795,750,NO-HAY-PALABRAS
CHI,NA,137520,137910,390,0.
CHI,NA,141115,141435,320,0.
CHI,NA,144025,144385,360,0.
CHI,NA,191495,192235,740,NO-HAY-PALABRAS
CHI,NA,193425,194155,730,0.
CHI,NA,195160,195500,340,0.
CHI,NA,197140,197700,560,0.
CHI,NA,205770,206320,550,0.
CHI,NA,225975,226285,310,NO-HAY-PALABRAS
CHI,NA,228570,229080,510,NO-HAY-PALABRAS
CHI,NA,229595,230395,800,0.
CHI,NA,231765,232595,830,NO-HAY-PALABRAS
CHI,NA,237700,239380,1680,NO-HAY-PALABRAS
CHI,NA,239870,241460,1590,NO-HAY-PALABRAS
CHI,NA,247190,247700,510,0.
tlsp@CHI,NA,25430,26080,650,0.
tlsp@CHI,NA,29675,30915,1240,0.
tlsp@CHI,NA,36095,36875,780,0.
tlsp@CHI,NA,60125,60435,310,0.
tlsp@CHI,NA,69615,69985,370,0.
tlsp@CHI,NA,92070,92850,780,0.
tlsp@CHI,NA,94550,95470,920,0.
tlsp@CHI,NA,103070,103810,740,0.
tlsp@CHI,NA,124055,124875,820,0.
tlsp@CHI,NA,128305,128945,640,0.
tlsp@CHI,NA,131355,131995,640,0.
tlsp@CHI,NA,137520,137910,390,0.
tlsp@CHI,NA,141115,141435,320,0.
tlsp@CHI,NA,144025,144385,360,0.
tlsp@CHI,NA,193425,194155,730,0.
tlsp@CHI,NA,195160,195500,340,0.
tlsp@CHI,NA,197140,197700,560,0.
tlsp@CHI,NA,205770,206320,550,0.
tlsp@CHI,NA,229595,230395,800,0.
tlsp@CHI,NA,247190,247700,510,0.
OTR,NA,33380,35730,2350,0.
OTR,NA,37140,40140,3000,0.
OTR,NA,68410,69920,1510,0.
OTR,NA,70320,71430,1110,0.
OTR,NA,85040,88830,3790,0.
OTR,NA,94930,96670,1740,0.
OTR,NA,101084,103114,2030,0.
OTR,NA,114780,120610,5830,0.
OTR,NA,121280,122820,1540,0.
OTR,NA,125150,128130,2980,0.
OTR,NA,132490,133380,890,0.
OTR,NA,139070,140880,1810,0.
OTR,NA,141290,144020,2730,0.
OTR,NA,145040,147290,2250,0.
OTR,NA,148160,149230,1070,0.
OTR,NA,199370,202100,2730,0.
OTR,NA,202290,205190,2900,0.
quien@OTR,NA,33380,35730,2350,niño.
quien@OTR,NA,37140,40140,3000,niño.
quien@OTR,NA,68410,69920,1510,niño.
quien@OTR,NA,70320,71430,1110,niño.
quien@OTR,NA,85040,88830,3790,niño.
quien@OTR,NA,94930,96670,1740,niño.
quien@OTR,NA,101084,103114,2030,niño.
quien@OTR,NA,114780,120610,5830,niño.
quien@OTR,NA,121280,122820,1540,niño.
quien@OTR,NA,125150,128130,2980,niño.
quien@OTR,NA,132490,133380,890,niño.
quien@OTR,NA,139070,140880,1810,niño.
quien@OTR,NA,141290,144020,2730,niño.
quien@OTR,NA,145040,147290,2250,niño.
quien@OTR,NA,148160,149230,1070,niño.
quien@OTR,NA,199370,202100,2730,niño.
quien@OTR,NA,202290,205190,2900,niño.
tlsp@OTR,NA,33380,35730,2350,0.
tlsp@OTR,NA,37140,40140,3000,0.
tlsp@OTR,NA,68410,69920,1510,0.
tlsp@OTR,NA,70320,71430,1110,0.
tlsp@OTR,NA,85040,88830,3790,0.
tlsp@OTR,NA,94930,96670,1740,0.
tlsp@OTR,NA,101084,103114,2030,0.
tlsp@OTR,NA,114780,120610,5830,0.
tlsp@OTR,NA,121280,122820,1540,0.
tlsp@OTR,NA,125150,128130,2980,0.
tlsp@OTR,NA,132490,133380,890,0.
tlsp@OTR,NA,139070,140880,1810,0.
tlsp@OTR,NA,141290,144020,2730,0.
tlsp@OTR,NA,145040,147290,2250,0.
tlsp@OTR,NA,148160,149230,1070,0.
tlsp@OTR,NA,199370,202100,2730,0.
tlsp@OTR,NA,202290,205190,2900,0.
