tier,speaker,start,stop,dur,val
CHI,NA,57320,57680,360,0.
CHI,NA,59960,60490,530,NO-HAY-PALABRAS
CHI,NA,60885,61425,540,NO-HAY-PALABRAS
CHI,NA,62025,62345,320,NO-HAY-PALABRAS
CHI,NA,62985,63715,730,NO-HAY-PALABRAS
CHI,NA,68020,69280,1260,0.
CHI,NA,87300,88040,740,0.
CHI,NA,103463,103798,335,0.
CHI,NA,109660,109940,280,0.
CHI,NA,114840,115130,290,0.
CHI,NA,199865,200375,510,0.
CHI,NA,201010,201260,250,0.
CHI,NA,201535,201835,300,0.
CHI,NA,202175,202525,350,0.
CHI,NA,202810,203080,270,0.
CHI,NA,203335,203615,280,0.
CHI,NA,212060,212295,235,0.
CHI,NA,236075,236505,430,0.
CHI,NA,241830,242130,300,0.
CHI,NA,247633,248516,883,0.
CHI,NA,250840,251140,300,0.
CHI,NA,251356,251823,467,0.
CHI,NA,252089,252422,333,0.
CHI,NA,263621,265005,1384,NO-HAY-PALABRAS
CHI,NA,265863,266779,916,0.
CHI,NA,267254,267804,550,0.
CHI,NA,268179,268762,583,NO-HAY-PALABRAS
CHI,NA,269520,269920,400,0.
CHI,NA,270603,272136,1533,NO-HAY-PALABRAS
CHI,NA,273635,275019,1384,NO-HAY-PALABRAS
comentarios,NA,59829,63923,4094,risa.
tlsp@CHI,NA,57320,57680,360,0.
tlsp@CHI,NA,68020,69280,1260,0.
tlsp@CHI,NA,87300,88040,740,0.
tlsp@CHI,NA,103463,103798,335,0.
tlsp@CHI,NA,109660,109940,280,0.
tlsp@CHI,NA,114840,115130,290,0.
tlsp@CHI,NA,199865,200375,510,0.
tlsp@CHI,NA,201010,201260,250,0.
tlsp@CHI,NA,201535,201835,300,0.
tlsp@CHI,NA,202175,202525,350,0.
tlsp@CHI,NA,202810,203080,270,0.
tlsp@CHI,NA,203335,203615,280,0.
tlsp@CHI,NA,212060,212295,235,0.
tlsp@CHI,NA,236075,236505,430,0.
tlsp@CHI,NA,241830,242130,300,0.
tlsp@CHI,NA,247633,248516,883,0.
tlsp@CHI,NA,250840,251140,300,0.
tlsp@CHI,NA,251356,251823,467,0.
tlsp@CHI,NA,252089,252422,333,0.
tlsp@CHI,NA,265863,266779,916,0.
tlsp@CHI,NA,267254,267804,550,0.
tlsp@CHI,NA,269520,269920,400,0.
OTR,NA,55753,57211,1458,0.
OTR,NA,59202,60253,1051,0.
OTR,NA,87838,88727,889,0.
OTR,NA,90863,91795,932,0.
OTR,NA,110872,111829,957,0.
OTR,NA,115515,116591,1076,0.
OTR,NA,142499,144194,1695,0.
OTR,NA,147309,148945,1636,0.
OTR,NA,148996,151055,2059,0.
OTR,NA,151220,151762,542,0.
OTR,NA,203610,204237,627,0.
OTR,NA,204622,205919,1297,0.
OTR,NA,214414,215855,1441,0.
OTR,NA,233991,234999,1008,0.
OTR,NA,236618,238754,2136,0.
OTR,NA,244177,245261,1084,0.
quien@OTR,NA,55753,57211,1458,mujer.
quien@OTR,NA,59202,60253,1051,mujer.
quien@OTR,NA,87838,88727,889,mujer.
quien@OTR,NA,90863,91795,932,mujer.
quien@OTR,NA,110872,111829,957,mujer.
quien@OTR,NA,115515,116591,1076,mujer.
quien@OTR,NA,142499,144194,1695,mujer.
quien@OTR,NA,147309,148945,1636,mujer.
quien@OTR,NA,148996,151055,2059,mujer.
quien@OTR,NA,151220,151762,542,mujer.
quien@OTR,NA,203610,204237,627,mujer.
quien@OTR,NA,204622,205919,1297,mujer.
quien@OTR,NA,214414,215855,1441,mujer.
quien@OTR,NA,233991,234999,1008,mujer.
quien@OTR,NA,236618,238754,2136,mujer.
quien@OTR,NA,244177,245261,1084,mujer.
tlsp@OTR,NA,55753,57211,1458,0.
tlsp@OTR,NA,59202,60253,1051,0.
tlsp@OTR,NA,87838,88727,889,0.
tlsp@OTR,NA,90863,91795,932,0.
tlsp@OTR,NA,110872,111829,957,0.
tlsp@OTR,NA,115515,116591,1076,0.
tlsp@OTR,NA,142499,144194,1695,0.
tlsp@OTR,NA,147309,148945,1636,0.
tlsp@OTR,NA,148996,151055,2059,0.
tlsp@OTR,NA,151220,151762,542,0.
tlsp@OTR,NA,203610,204237,627,0.
tlsp@OTR,NA,204622,205919,1297,0.
tlsp@OTR,NA,214414,215855,1441,0.
tlsp@OTR,NA,233991,234999,1008,0.
tlsp@OTR,NA,236618,238754,2136,0.
tlsp@OTR,NA,244177,245261,1084,0.
