Site,Type,N,AgeMonths,ods_uph,tds_uph,xds_uph,ods_mph,tds_mph,xds_mph,prp_tds,prp_tds_adu,prp_tds_chi,shape,Reference,Notes
US/Canada,Urban,9,2.5,NA,NA,NA,12.80263858,10.07990853,22.88254711,0.440506404,NA,NA,0,"Casillas, Bergelson, et al. (2018)",tds originally interpreted as cds
US/Canada,Urban,23,8.5,NA,NA,NA,9.781257323,11.15424886,20.93550618,0.53279098,NA,NA,0,"Casillas, Bergelson, et al. (2018)",tds originally interpreted as cds
US/Canada,Urban,26,14.5,NA,NA,NA,4.021346955,11.47896777,15.50031473,0.740563529,NA,NA,0,"Casillas, Bergelson, et al. (2018)",tds originally interpreted as cds
US/Canada,Urban,3,22.5,NA,NA,NA,2.207575182,15.72754905,17.93512423,0.876913304,NA,NA,0,"Casillas, Bergelson, et al. (2018)",tds originally interpreted as cds
US,Urban,9,14,278,616,894,NA,NA,NA,0.689038031,99,1,1,Shneidman (2010),estimated from ch3 text and fig1; prp_tds_adu = 1 - prp_tds_chi
US,Urban,6,18,631,970,1601,NA,NA,NA,0.60587133,89,11,1,Shneidman (2010),estimated from ch4 text and tab5; no data for ADS vs. CDS from adults vs. children; prp_tds_adu = 1 - prp_tds_chi
US,Urban,15,30,411,815,1226,NA,NA,NA,0.664763458,98,2,1,Shneidman (2010),estimated from ch3 text and fig1; prp_tds_adu = 1 - prp_tds_chi
Yukatek,"Rural, non-WEIRD",9,13,342,86,428,NA,NA,NA,0.200934579,30,70,13,Shneidman (2010),estimated from ch3 text and fig1; prp_tds_adu = 1 - prp_tds_chi
Yukatek,"Rural, non-WEIRD",6,18,215,170,385,NA,NA,NA,0.441558442,30,70,13,Shneidman (2010),estimated from ch4 text and tab4; no data for ADS vs. CDS from adults vs. children; prp_tds_adu = 1 - prp_tds_chi
Yukatek,"Rural, non-WEIRD",15,24,271,274,545,NA,NA,NA,0.502752294,38,62,13,Shneidman (2010),estimated from ch3 text and fig1; prp_tds_adu = 1 - prp_tds_chi
Yukatek,"Rural, non-WEIRD",6,35,142,209,351,NA,NA,NA,0.595441595,14,86,13,Shneidman (2010),estimated from ch4 text and tab4; no data for ADS vs. CDS from adults vs. children; prp_tds_adu = 1 - prp_tds_chi
MozambiqueUrb,Urban,14,13,NA,207,NA,NA,NA,NA,NA,NA,NA,2,Vogt et al. (2015),Needs to be checked
MozambiqueUrb,Urban,14,17,NA,243,NA,NA,NA,NA,NA,NA,NA,2,Vogt et al. (2015),Needs to be checked
MozambiqueRur,"Rural, non-WEIRD",14,13,NA,43,NA,NA,NA,NA,NA,NA,NA,3,Vogt et al. (2015),Needs to be checked
MozambiqueRur,"Rural, non-WEIRD",14,17,NA,107,NA,NA,NA,NA,NA,NA,NA,3,Vogt et al. (2015),Needs to be checked
Dutch,Urban,14,13,NA,436,NA,NA,NA,NA,NA,NA,NA,5,Vogt et al. (2015),Needs to be checked
Dutch,Urban,14,17,NA,671,NA,NA,NA,NA,NA,NA,NA,5,Vogt et al. (2015),Needs to be checked
Tsimane,"Rural, non-WEIRD",25,36,NA,NA,NA,10.66,5.2,15.86,0.327868852,NA,NA,4,Scaff et al. (in prep),Needs improvement (with permission only)
