effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,(Intercept),0.9143200867883211,0.36101436685525806,2.532641830165448,0.01132065614550277,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std,0.5996881925773697,0.3579567166654477,1.6753092333726154,0.09387357476111358,TCDS_random_z-inb
fixed,cond,NA,stthr.trimorning,0.827684253016867,0.3952995339281238,2.093815403200962,0.03627642749377916,TCDS_random_z-inb
fixed,cond,NA,stthr.triafternoon,0.4883762299027172,0.3734062984211668,1.3078949979356675,0.1909089263667978,TCDS_random_z-inb
fixed,cond,NA,hsz.std,0.008219980992329007,0.2244708403263726,0.03661937105228211,0.9707884980221552,TCDS_random_z-inb
fixed,cond,NA,nsk.std,-0.12070307173832977,0.1601289055199753,-0.7537869027854727,0.45097718964393047,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.283750802276871,0.3895494701129783,-0.7284076196909643,0.4663641002780382,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std:stthr.triafternoon,-0.8534609027653483,0.3778106695818949,-2.2589645329758232,0.023885591164435838,TCDS_random_z-inb
fixed,cond,NA,tchiyr.std:nsk.std,0.5737636853917313,0.19449177403162524,2.9500665940680593,0.0031770544232455353,TCDS_random_z-inb
fixed,zi,NA,(Intercept),-57.42842802206976,15426.181032509554,-0.003722789710625302,0.9970296504278712,TCDS_random_z-inb
fixed,zi,NA,nsk.std,-55.683657595234436,15691.060629902113,-0.003548750394165153,0.9971685127934705,TCDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3127065135857652,NA,NA,NA,TCDS_random_z-inb
fixed,cond,NA,(Intercept),1.4026960298419493,0.21677941807491835,6.470614425937713,9.760520629491005e-11,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std,-0.2537711847727559,0.24941226883775683,-1.0174767502629734,0.3089266870308591,TCDS_random_z-inb.v2
fixed,cond,NA,stthr.tri.amidday,-0.4883744774328954,0.3734059197126206,-1.3078916312005886,0.190910068456483,TCDS_random_z-inb.v2
fixed,cond,NA,stthr.tri.amorning,0.3393086485979784,0.26877683622615106,1.2624177490968056,0.20679850580399425,TCDS_random_z-inb.v2
fixed,cond,NA,hsz.std,0.008221719701198428,0.22447115076540167,0.036627066209461705,0.9707823622912344,TCDS_random_z-inb.v2
fixed,cond,NA,nsk.std,-0.1207034598639958,0.16012907681650873,-0.7537885202592495,0.4509762182505606,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,0.8534587430251781,0.3778105836012471,2.2589593305992315,0.023885914802232764,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,0.5697100298186588,0.3005045832062382,1.8958447280242086,0.05798057943077538,TCDS_random_z-inb.v2
fixed,cond,NA,tchiyr.std:nsk.std,0.5737652630588458,0.1944920340834816,2.9500707613175003,0.003177011570593404,TCDS_random_z-inb.v2
fixed,zi,NA,(Intercept),-57.875450133960875,16902.917505389752,-0.003423991752637165,0.997268055182348,TCDS_random_z-inb.v2
fixed,zi,NA,nsk.std,-56.13833413499364,17193.15391304832,-0.003265156260387388,0.997394786860365,TCDS_random_z-inb.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),0.31270718855371143,NA,NA,NA,TCDS_random_z-inb.v2
fixed,cond,NA,(Intercept),0.8187915955819023,0.18913446968050399,4.329150561317821,1.496855760729359e-5,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std,0.5404285112839878,0.22349632402214745,2.4180644296880422,0.015603313742926993,TCDS_random_log_gaus
fixed,cond,NA,stthr.trimorning,0.504776885283671,0.2504548122462807,2.015440952227769,0.04385846715293788,TCDS_random_log_gaus
fixed,cond,NA,stthr.triafternoon,0.2896998018125414,0.22110473630195235,1.3102378839000175,0.19011537354668015,TCDS_random_log_gaus
fixed,cond,NA,hsz.std,-0.15473282376826328,0.15646221846057715,-0.9889468862877615,0.32268912900941854,TCDS_random_log_gaus
fixed,cond,NA,nsk.std,0.22902685712539517,0.11850195521834549,1.9326842051120785,0.0532751121200378,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.17365931269266996,0.26763326290033185,-0.6488704386395412,0.51642212357215,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std:stthr.triafternoon,-0.6809729592865895,0.2388465892179353,-2.851089318530048,0.004356972867211374,TCDS_random_log_gaus
fixed,cond,NA,tchiyr.std:nsk.std,0.2307688222014802,0.13915929980780314,1.6583068650115484,0.09725554408219622,TCDS_random_log_gaus
ran_pars,cond,aclew_child_id,sd__(Intercept),0.20574496095930997,NA,NA,NA,TCDS_random_log_gaus
ran_pars,cond,Residual,sd__Observation,0.8401704615921096,NA,NA,NA,TCDS_random_log_gaus
fixed,cond,NA,(Intercept),1.1084938550530086,0.14680917505653812,7.550576145027129,4.333369559000767e-14,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std,-0.1405423977963109,0.1751871671886311,-0.8022413973107015,0.42241333411879045,TCDS_random_log_gaus.v2
fixed,cond,NA,stthr.tri.amidday,-0.2896956023062112,0.2211049812794833,-1.3102174389279242,0.1901222878856982,TCDS_random_log_gaus.v2
fixed,cond,NA,stthr.tri.amorning,0.21507410104140107,0.21925250340334732,0.980942510132897,0.3266210926287555,TCDS_random_log_gaus.v2
fixed,cond,NA,hsz.std,-0.15472929989766232,0.15646156366946368,-0.9889285027506124,0.3226981239774152,TCDS_random_log_gaus.v2
fixed,cond,NA,nsk.std,0.22902830991506734,0.11850212974541041,1.9326936183097385,0.0532739518205585,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,0.6809668643065326,0.23884683203983192,2.8510609016282427,0.004357362277450439,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,0.5073095210142357,0.22982900176865736,2.2073346579857938,0.027290687688060408,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std:nsk.std,0.23076810331675102,0.13915931330049994,1.6583015383126496,0.09725661868804011,TCDS_random_log_gaus.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),0.20574204536860494,NA,NA,NA,TCDS_random_log_gaus.v2
ran_pars,cond,Residual,sd__Observation,0.8401715121067127,NA,NA,NA,TCDS_random_log_gaus.v2
fixed,cond,NA,(Intercept),2.515650083558025,0.22221344955791497,11.320872289966305,1.0343751732703176e-29,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std,0.08102680602502235,0.21201831572093927,0.38216889776480767,0.7023360900537953,TCDS_turntaking_nb
fixed,cond,NA,stthr.trimorning,0.1380242713310335,0.28757360744872723,0.4799615394317522,0.6312547412510303,TCDS_turntaking_nb
fixed,cond,NA,stthr.triafternoon,0.062270322761835424,0.2672894869971943,0.23296959211302265,0.8157850181141129,TCDS_turntaking_nb
fixed,cond,NA,hsz.std,0.11757903151446543,0.13684246236158884,0.8592291419294821,0.3902141084425284,TCDS_turntaking_nb
fixed,cond,NA,nsk.std,-0.12922688892812143,0.10543521800083797,-1.2256520295438131,0.2203296493835626,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.13336332436488169,0.2856537951509248,-0.4668704796812496,0.6405925469005058,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std:stthr.triafternoon,0.0013687542804794088,0.23652330007075265,0.005786974391402306,0.9953826882509343,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std:nsk.std,0.05966568622734035,0.13108801997381025,0.4551574296359103,0.648995984173727,TCDS_turntaking_nb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.19444192415615352,NA,NA,NA,TCDS_turntaking_nb
fixed,cond,NA,(Intercept),2.5779161836964963,0.17069404142546726,15.102555204436536,1.55777784665974e-51,TCDS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std,0.08239352869015233,0.18742615087103187,0.4396052968448752,0.6602230037001088,TCDS_turntaking_nb.v2
fixed,cond,NA,stthr.tri.amidday,-0.062273861718062484,0.2672908825583753,-0.23298161584116928,0.8157756814234165,TCDS_turntaking_nb.v2
fixed,cond,NA,stthr.tri.amorning,0.07575355033889797,0.22425557369189814,0.33780007824008335,0.7355138509223385,TCDS_turntaking_nb.v2
fixed,cond,NA,hsz.std,0.11758313089647404,0.13684242976826125,0.8592593035332515,0.39019747146055256,TCDS_turntaking_nb.v2
