tier,speaker,start,stop,dur,val
CHI,CHI,2517713,2518118,405,0.
CHI,CHI,2543573,2543807,234,0.
CHI,CHI,2544850,2545380,530,0.
CHI,CHI,2545990,2546640,650,0.
CHI,CHI,2548541,2548922,381,0.
CHI,CHI,2549827,2550188,361,0.
CHI,CHI,2721176,2722872,1696,0.
CHI,CHI,2723438,2725100,1662,0.
CHI,CHI,2725140,2727110,1970,0.
CHI,CHI,2729030,2731990,2960,0.
CHI,CHI,2733430,2736530,3100,0.
CHI,CHI,2738377,2738684,307,0.
CHI,CHI,2742196,2742491,295,0.
CHI,CHI,2748500,2749380,880,0.
CHI,CHI,2756770,2757380,610,0.
CHI,CHI,2758799,2759319,520,0.
CHI,CHI,2774560,2776286,1726,0.
CHI,CHI,2777954,2778836,882,0.
CHI,CHI,2779635,2780397,762,0.
CHI,CHI,4747696,4748192,496,0.
CHI,CHI,4750996,4751471,475,0.
CHI,CHI,4752705,4753643,938,0.
CHI,CHI,4754922,4755635,713,0.
CHI,CHI,4756844,4758610,1766,0.
CHI,CHI,4761364,4761758,394,0.
CHI,CHI,4763377,4764278,901,0.
CHI,CHI,4764527,4765617,1090,0.
CHI,CHI,4765976,4766692,716,0.
CHI,CHI,4771729,4772241,512,0.
CHI,CHI,4772827,4774352,1525,0.
CHI,CHI,4778176,4778509,333,0.
CHI,CHI,4779161,4783508,4347,0.
CHI,CHI,4785745,4789532,3787,0.
CHI,CHI,4790653,4795624,4971,0.
CHI,CHI,4799036,4805261,6225,0.
CHI,CHI,4806394,4807254,860,0.
CHI,CHI,4808733,4815984,7251,0.
CHI,CHI,4816314,4817235,921,0.
CHI,CHI,4817685,4819172,1487,0.
CHI,CHI,4819710,4820938,1228,0.
CHI,CHI,4822915,4824031,1116,0.
CHI,CHI,4824426,4825900,1474,0.
CHI,CHI,4826106,4829143,3037,0.
CHI,CHI,4829766,4832800,3034,0.
CHI,CHI,4835106,4836700,1594,0.
CHI,CHI,4840270,4842565,2295,0.
CHI,CHI,4843423,4847298,3875,0.
CHI,CHI,4859112,4863199,4087,0.
CHI,CHI,4866896,4869069,2173,0.
CHI,CHI,4871207,4876404,5197,0.
CHI,CHI,4876528,4879237,2709,0.
CHI,CHI,4880465,4887274,6809,0.
CHI,CHI,4888892,4894166,5274,0.
CHI,CHI,4895571,4897363,1792,0.
CHI,CHI,4898227,4899728,1501,0.
CHI,CHI,4901170,4904084,2914,0.
CHI,CHI,4906521,4908929,2408,0.
CHI,CHI,4915042,4922818,7776,0.
CHI,CHI,4929985,4932352,2367,0.
CHI,CHI,4933791,4935311,1520,0.
CHI,CHI,4952186,4952458,272,0.
CHI,CHI,4953887,4954586,699,0.
CHI,CHI,4956250,4956549,299,0.
CHI,CHI,4957183,4957901,718,0.
CHI,CHI,4958647,4964104,5457,0.
CHI,CHI,4964467,4965101,634,0.
CHI,CHI,4967490,4968625,1135,0.
CHI,CHI,4968912,4971161,2249,0.
CHI,CHI,4978507,4979408,901,0.
CHI,CHI,5019774,5022694,2920,0.
CHI,CHI,5023188,5028066,4878,0.
CHI,CHI,5030233,5031886,1653,0.
CHI,CHI,5033453,5034840,1387,0.
CHI,CHI,8681770,8682790,1020,0.
CHI,CHI,8683210,8685020,1810,0.
CHI,CHI,8688500,8688930,430,0.
CHI,CHI,8689000,8689580,580,0.
CHI,CHI,8689700,8690360,660,0.
CHI,CHI,8691565,8692755,1190,0.
CHI,CHI,8708442,8709215,773,0.
CHI,CHI,8711070,8711508,438,0.
CHI,CHI,8711651,8711860,209,0.
CHI,CHI,8712320,8713393,1073,0.
